######################
#	    Europe       #
######################
LIP = "countries/Brunswick.txt"  #Lippe
ANH = "countries/Brunswick.txt"  #Anhalt
WLD = "countries/Brunswick.txt"  #Waldeck
FRS = "countries/Brunswick.txt"  #Fürstenland
MSA = "countries/Lucca.txt" #Massa and Carrara
IMJ = "countries/ImperialJapan.txt"
JSK = "countries/Sakai.txt"
MTS = "countries/ImperialJapan.txt"
MRI = "countries/Mori.txt"
RYU = "countries/Ryukyu.txt"
SMZ = "countries/Shimazu.txt"
UES = "countries/Uesugi.txt"
SNC = "countries/Seneca.txt"
CYG = "countries/Cayuga.txt"
OOD = "countries/Onondaga.txt"
TCR = "countries/Tuscarora.txt"
OBD = "countries/Oneida.txt"
MWK = "countries/Mohawk.txt"
################
#    Other     #
################
UNC = "countries/Uncolonised.txt"
JAN = "countries/JanMayen.txt"
NAC = "countries/NAC.txt"
